  1.f3 
  1.f3 e5 2.Kf2 
  1.h4 
  1.h3 
  1.a4 
  1.a3 
  1.a3 e5 2.h3 d5 
  1.Nh3 
  1.Nh3 d5 2.g3 e5 3.f4 
  1.Na3 
  1.c3 
  1.d3 
  1.d3 e5 
  1.d3 d5 
  1.d3 g6 2.g4 
  1.e3 
  1.Nc3 
  1.Nc3 Nf6 
  1.Nc3 Nf6 2.Nf3 
  1.Nc3 Nf6 2.g4 
  1.Nc3 e5 
  1.Nc3 e5 2.Nf3 
  1.Nc3 c5 
  1.Nc3 c5 2.Nf3 
  1.Nc3 c5 2.Nf3 Nc6 
  1.Nc3 d5 
  1.Nc3 d5 2.Nf3 
  1.Nc3 d5 2.Nf3 Nf6 
  1.Nc3 d5 2.e4 
  1.Nc3 d5 2.e4 d4 
  1.Nc3 d5 2.e4 dxe4 
  1.Nc3 d5 2.e4 dxe4 3.Bc4 
  1.g4 
  1.g4 f5 
  1.g4 g5 
  1.g4 e5 
  1.g4 d5 
  1.g4 d5 2.Bg2 
  1.g4 d5 2.Bg2 e5 
  1.g4 d5 2.Bg2 e5 3.c4 
  1.g4 d5 2.Bg2 c6 
  1.g4 d5 2.Bg2 c6 3.g5 
  1.g4 d5 2.Bg2 Bxg4 
  1.g4 d5 2.Bg2 Bxg4 3.c4 
  1.b4 
  1.b4 c5 
  1.b4 Nf6 
  1.b4 Nf6 2.Bb2 
  1.b4 Nf6 2.Bb2 e6 
  1.b4 c6 
  1.b4 c6 2.Bb2 a5 3.b5 
  1.b4 d5 
  1.b4 d5 2.Bb2 
  1.b4 d5 2.Bb2 Bf5 
  1.b4 d5 2.Bb2 Nf6 
  1.b4 d5 2.Bb2 Nf6 3.e3 
  1.b4 e5 
  1.b4 e5 2.a3 
  1.b4 e5 2.Bb2 
  1.b4 e5 2.Bb2 c5 
  1.b4 e5 2.Bb2 f6 
  1.b4 e5 2.Bb2 f6 3.e4 Bxb4 
  1.b4 e5 2.Bb2 d6 
  1.b4 e5 2.Bb2 Bxb4 
  1.b4 e5 2.Bb2 Bxb4 3.Bxe5 
  1.b4 e5 2.Bb2 Bxb4 3.Bxe5 Nf6 
  1.b4 e5 2.Bb2 Bxb4 3.Bxe5 Nf6 4.c4 
  1.b4 e5 2.Bb2 Bxb4 3.Bxe5 Nf6 4.Nf3 
  1.g3 
  1.g3 Nf6 
  1.g3 g6 
  1.g3 e5 
  1.g3 d5 
  1.g3 d5 2.Bg2 
  1.g3 d5 2.Bg2 c6 
  1.g3 d5 2.Bg2 e5 
  1.g3 d5 2.Bg2 Nf6 
  1.b3 
  1.b3 b5 
  1.b3 b6 
  1.b3 f5 
  1.b3 f5 2.Bb2 e6 3.e4 
  1.b3 c5 
  1.b3 Nf6 
  1.b3 Nf6 2.Bb2 g6 
  1.b3 Nf6 2.Bb2 g6 3.g4 
  1.b3 d5 
  1.b3 d5 2.Bb2 
  1.b3 e5 
  1.b3 e5 2.Bb2 
  1.b3 e5 2.Bb2 d6 
  1.b3 e5 2.Bb2 Nc6 
  1.b3 e5 2.Bb2 Nc6 3.f4 
  1.b3 e5 2.Bb2 Nc6 3.e3 
  1.f4 
  1.f4 g5 
  1.f4 f5 
  1.f4 f5 2.e4 
  1.f4 f5 2.e4 fxe4 3.Nc3 Nf6 4.g4 
  1.f4 d6 
  1.f4 g6 
  1.f4 g6 2.Nf3 Bg7 3.e3 
  1.f4 g6 2.Nf3 Bg7 3.g3 
  1.f4 c5 
  1.f4 c5 2.Nf3 Nc6 
  1.f4 e5 
  1.f4 e5 2.fxe5 
  1.f4 e5 2.fxe5 Nc6 
  1.f4 e5 2.fxe5 d6 
  1.f4 e5 2.fxe5 d6 3.exd6 
  1.f4 e5 2.fxe5 d6 3.exd6 Nf6 
  1.f4 e5 2.fxe5 d6 3.exd6 Bxd6 
  1.f4 e5 2.fxe5 d6 3.exd6 Bxd6 4.Nf3 Nh6 5.d4 
  1.f4 e5 2.fxe5 d6 3.exd6 Bxd6 4.Nf3 g5 
  1.f4 e5 2.fxe5 d6 3.exd6 Bxd6 4.Nf3 g5 5.d4 
  1.f4 e5 2.fxe5 d6 3.exd6 Bxd6 4.Nf3 g5 5.d4 g4 6.Ne5 Bxe5 7.dxe5 Qxd1+ 
  1.f4 e5 2.fxe5 d6 3.exd6 Bxd6 4.Nf3 g5 5.g3 
  1.f4 Nf6 
  1.f4 Nf6 2.g3 
  1.f4 Nf6 2.e3 
  1.f4 Nf6 2.b3 
  1.f4 Nf6 2.Nf3 
